0:0:0:0:0:0:0:1 - - [12/Sep/2020:20:32:25 -0500] "GET /customers/customer/1 HTTP/1.1" 200 53
127.0.0.1 - - [12/Sep/2020:20:34:38 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:40:51 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:40:51 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:11 -0500] "POST /customers/crear HTTP/1.1" 200 54
127.0.0.1 - - [12/Sep/2020:20:41:11 -0500] "GET /customers HTTP/1.1" 200 526
127.0.0.1 - - [12/Sep/2020:20:41:18 -0500] "PUT /customers/actualizar HTTP/1.1" 200 56
127.0.0.1 - - [12/Sep/2020:20:41:23 -0500] "DELETE /customers/eliminar/17 HTTP/1.1" 204 -
127.0.0.1 - - [12/Sep/2020:20:41:23 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:27 -0500] "GET /customers/customersbySurname/columba HTTP/1.1" 200 101
127.0.0.1 - - [12/Sep/2020:20:41:32 -0500] "GET /customers/customersbySurname/lopez HTTP/1.1" 200 54
127.0.0.1 - - [12/Sep/2020:20:41:34 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:37 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:37 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:41 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:41:43 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:00 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:11 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:18 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:18 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:23 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:42:26 -0500] "GET /customers HTTP/1.1" 200 482
127.0.0.1 - - [12/Sep/2020:20:44:35 -0500] "GET /customers HTTP/1.1" 200 482
